# f, o1, x1, o2, x2, o3, x3, o4, x4
2.1982e+01 4.7661e-06 1.0765e-06 2.3864e+00 2.3864e+00 2.2885e+00 6.8163e-01 7.5466e+00 7.5466e+00
2.2072e+01 4.2882e-06 9.6955e-07 2.4060e+00 2.4060e+00 2.1782e+00 6.4424e-01 7.6085e+00 7.6085e+00
2.2162e+01 3.8589e-06 8.7338e-07 2.4257e+00 2.4257e+00 2.0720e+00 6.0884e-01 7.6708e+00 7.6708e+00
2.2252e+01 3.4731e-06 7.8687e-07 2.4455e+00 2.4455e+00 1.9698e+00 5.7534e-01 7.7333e+00 7.7333e+00
2.2342e+01 3.1265e-06 7.0904e-07 2.4653e+00 2.4653e+00 1.8717e+00 5.4365e-01 7.7960e+00 7.7960e+00
2.2432e+01 2.8148e-06 6.3901e-07 2.4852e+00 2.4852e+00 1.7776e+00 5.1367e-01 7.8590e+00 7.8590e+00
2.2523e+01 2.5347e-06 5.7598e-07 2.5052e+00 2.5052e+00 1.6874e+00 4.8532e-01 7.9223e+00 7.9223e+00
2.2613e+01 2.2828e-06 5.1926e-07 2.5253e+00 2.5253e+00 1.6012e+00 4.5852e-01 7.9858e+00 7.9858e+00
2.2703e+01 2.0563e-06 4.6819e-07 2.5455e+00 2.5455e+00 1.5188e+00 4.3319e-01 8.0495e+00 8.0495e+00
2.2793e+01 1.8525e-06 4.2221e-07 2.5657e+00 2.5657e+00 1.4401e+00 4.0925e-01 8.1135e+00 8.1135e+00
2.2883e+01 1.6692e-06 3.8080e-07 2.5860e+00 2.5860e+00 1.3651e+00 3.8662e-01 8.1778e+00 8.1778e+00
2.2973e+01 1.5043e-06 3.4351e-07 2.6064e+00 2.6064e+00 1.2936e+00 3.6525e-01 8.2423e+00 8.2423e+00
2.3063e+01 1.3559e-06 3.0992e-07 2.6269e+00 2.6269e+00 1.2255e+00 3.4506e-01 8.3071e+00 8.3071e+00
2.3153e+01 1.2223e-06 2.7965e-07 2.6475e+00 2.6475e+00 1.1607e+00 3.2598e-01 8.3721e+00 8.3721e+00
2.3243e+01 1.1020e-06 2.5238e-07 2.6681e+00 2.6681e+00 1.0991e+00 3.0797e-01 8.4374e+00 8.4374e+00
2.3333e+01 9.9377e-07 2.2780e-07 2.6889e+00 2.6889e+00 1.0405e+00 2.9096e-01 8.5029e+00 8.5029e+00
2.3423e+01 8.9629e-07 2.0564e-07 2.7097e+00 2.7097e+00 9.8492e-01 2.7489e-01 8.5687e+00 8.5687e+00
2.3514e+01 8.0849e-07 1.8567e-07 2.7305e+00 2.7305e+00 9.3213e-01 2.5972e-01 8.6348e+00 8.6348e+00
2.3604e+01 7.2940e-07 1.6767e-07 2.7515e+00 2.7515e+00 8.8205e-01 2.4539e-01 8.7010e+00 8.7010e+00
2.3694e+01 6.5815e-07 1.5143e-07 2.7726e+00 2.7726e+00 8.3455e-01 2.3186e-01 8.7676e+00 8.7676e+00
2.3784e+01 5.9395e-07 1.3678e-07 2.7937e+00 2.7937e+00 7.8952e-01 2.1909e-01 8.8344e+00 8.8344e+00
2.3874e+01 5.3609e-07 1.2357e-07 2.8149e+00 2.8149e+00 7.4684e-01 2.0703e-01 8.9014e+00 8.9014e+00
2.3964e+01 4.8395e-07 1.1165e-07 2.8362e+00 2.8362e+00 7.0641e-01 1.9564e-01 8.9688e+00 8.9688e+00
2.4054e+01 4.3694e-07 1.0090e-07 2.8575e+00 2.8575e+00 6.6811e-01 1.8489e-01 9.0363e+00 9.0363e+00
2.4144e+01 3.9456e-07 9.1193e-08 2.8790e+00 2.8790e+00 6.3186e-01 1.7474e-01 9.1041e+00 9.1041e+00
2.4234e+01 3.5634e-07 8.2433e-08 2.9005e+00 2.9005e+00 5.9753e-01 1.6516e-01 9.1722e+00 9.1722e+00
2.4324e+01 3.2187e-07 7.4525e-08 2.9221e+00 2.9221e+00 5.6505e-01 1.5611e-01 9.2405e+00 9.2405e+00
2.4414e+01 2.9078e-07 6.7385e-08 2.9438e+00 2.9438e+00 5.3432e-01 1.4756e-01 9.3091e+00 9.3091e+00
2.4505e+01 2.6273e-07 6.0939e-08 2.9656e+00 2.9656e+00 5.0524e-01 1.3949e-01 9.3779e+00 9.3779e+00
2.4595e+01 2.3742e-07 5.5116e-08 2.9874e+00 2.9874e+00 4.7774e-01 1.3187e-01 9.4470e+00 9.4470e+00
2.4685e+01 2.1458e-07 4.9857e-08 3.0093e+00 3.0093e+00 4.5173e-01 1.2468e-01 9.5163e+00 9.5163e+00
2.4775e+01 1.9396e-07 4.5107e-08 3.0313e+00 3.0313e+00 4.2713e-01 1.1789e-01 9.5859e+00 9.5859e+00
2.4865e+01 1.7536e-07 4.0814e-08 3.0534e+00 3.0534e+00 4.0388e-01 1.1147e-01 9.6558e+00 9.6558e+00
2.4955e+01 1.5856e-07 3.6936e-08 3.0756e+00 3.0756e+00 3.8189e-01 1.0541e-01 9.7259e+00 9.7259e+00
2.5045e+01 1.4339e-07 3.3430e-08 3.0978e+00 3.0978e+00 3.6111e-01 9.9686e-02 9.7962e+00 9.7962e+00
2.5135e+01 1.2969e-07 3.0262e-08 3.1202e+00 3.1202e+00 3.4146e-01 9.4280e-02 9.8668e+00 9.8668e+00
2.5225e+01 1.1731e-07 2.7397e-08 3.1426e+00 3.1426e+00 3.2289e-01 8.9173e-02 9.9377e+00 9.9377e+00
2.5315e+01 1.0613e-07 2.4807e-08 3.1651e+00 3.1651e+00 3.0534e-01 8.4350e-02 1.0009e+01 1.0009e+01
2.5405e+01 9.6033e-08 2.2465e-08 3.1876e+00 3.1876e+00 2.8875e-01 7.9793e-02 1.0080e+01 1.0080e+01
2.5495e+01 8.6907e-08 2.0347e-08 3.2103e+00 3.2103e+00 2.7307e-01 7.5489e-02 1.0152e+01 1.0152e+01
2.5586e+01 7.8659e-08 1.8431e-08 3.2330e+00 3.2330e+00 2.5826e-01 7.1422e-02 1.0224e+01 1.0224e+01
2.5676e+01 7.1204e-08 1.6698e-08 3.2558e+00 3.2558e+00 2.4426e-01 6.7579e-02 1.0296e+01 1.0296e+01
2.5766e+01 6.4464e-08 1.5130e-08 3.2787e+00 3.2787e+00 2.3102e-01 6.3948e-02 1.0368e+01 1.0368e+01
2.5856e+01 5.8370e-08 1.3711e-08 3.3017e+00 3.3017e+00 2.1852e-01 6.0516e-02 1.0441e+01 1.0441e+01
2.5946e+01 5.2860e-08 1.2426e-08 3.3247e+00 3.3247e+00 2.0670e-01 5.7273e-02 1.0514e+01 1.0514e+01
2.6036e+01 4.7876e-08 1.1264e-08 3.3478e+00 3.3478e+00 1.9553e-01 5.4209e-02 1.0587e+01 1.0587e+01
2.6126e+01 4.3369e-08 1.0212e-08 3.3710e+00 3.3710e+00 1.8498e-01 5.1312e-02 1.0660e+01 1.0660e+01
2.6216e+01 3.9291e-08 9.2587e-09 3.3943e+00 3.3943e+00 1.7500e-01 4.8574e-02 1.0734e+01 1.0734e+01
2.6306e+01 3.5601e-08 8.3958e-09 3.4177e+00 3.4177e+00 1.6558e-01 4.5985e-02 1.0808e+01 1.0808e+01
2.6396e+01 3.2262e-08 7.6144e-09 3.4412e+00 3.4412e+00 1.5667e-01 4.3538e-02 1.0882e+01 1.0882e+01
2.6486e+01 2.9240e-08 6.9066e-09 3.4647e+00 3.4647e+00 1.4825e-01 4.1225e-02 1.0956e+01 1.0956e+01
2.6577e+01 2.6505e-08 6.2655e-09 3.4883e+00 3.4883e+00 1.4029e-01 3.9037e-02 1.1031e+01 1.1031e+01
2.6667e+01 2.4029e-08 5.6846e-09 3.5120e+00 3.5120e+00 1.3276e-01 3.6969e-02 1.1106e+01 1.1106e+01
